srg_id,oscal_id,family,name,leveraged_from_fedramp_high,in_nist_high_baseline,profile_group,dod_param_present
CP-9(5),cp-9.5,CONTINGENCY PLANNING,System Backup | Transfer to Alternate Storage Site,Yes,Yes,baseline-from-nist-high,No
CP-9(8),cp-9.8,CONTINGENCY PLANNING,System Backup | Cryptographic Protection,Yes,Yes,baseline-from-nist-high,No
CP-10,cp-10,CONTINGENCY PLANNING,System Recovery and Reconstitution,Yes,Yes,baseline-from-nist-high,No
CP-10(2),cp-10.2,CONTINGENCY PLANNING,System Recovery and Reconstitution | Transaction Recovery,Yes,Yes,baseline-from-nist-high,No
CP-10(4),cp-10.4,CONTINGENCY PLANNING,System Recovery and Reconstitution | Restore Within Time Period,Yes,Yes,baseline-from-nist-high,No
IA-1,ia-1,IDENTIFICATION AND AUTHENTICATION,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
IA-2,ia-2,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users),Yes,Yes,baseline-from-nist-high,No
IA-2(1),ia-2.1,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,Yes,Yes,baseline-from-nist-high,No
IA-2(2),ia-2.2,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,Yes,Yes,baseline-from-nist-high,No
IA-2(5),ia-2.5,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication,Yes,Yes,baseline-from-nist-high,No
IA-2(6),ia-2.6,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Access to Accounts —separate Device,Yes,No,il5-fedramp-plus-additions,No
IA-2(8),ia-2.8,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,Yes,Yes,baseline-from-nist-high,No
IA-2(12),ia-2.12,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (organizational Users) | Acceptance of PIV Credentials,Yes,Yes,baseline-from-nist-high,No
IA-3,ia-3,IDENTIFICATION AND AUTHENTICATION,Device Identification and Authentication,Yes,Yes,baseline-from-nist-high,No
IA-3(1),ia-3.1,IDENTIFICATION AND AUTHENTICATION,Device Identification and Authentication | Cryptographic Bidirectional Authentication,No,No,il5-nss-overlay,No
IA-4,ia-4,IDENTIFICATION AND AUTHENTICATION,Identifier Management,Yes,Yes,baseline-from-nist-high,No
IA-4(4),ia-4.4,IDENTIFICATION AND AUTHENTICATION,Identifier Management | Identify User Status,Yes,Yes,baseline-from-nist-high,No
IA-4(9),ia-4.9,IDENTIFICATION AND AUTHENTICATION,Identifier Management | Attribute Maintenance and Protection,No,No,il5-nss-overlay,No
IA-5,ia-5,IDENTIFICATION AND AUTHENTICATION,Authenticator Management,Yes,Yes,baseline-from-nist-high,No
IA-5(1),ia-5.1,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | Password-based Authentication,No,Yes,il5-nss-overlay,Yes
IA-5(2),ia-5.2,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | Public Key-based Authentication,Yes,Yes,baseline-from-nist-high,No
IA-5(6),ia-5.6,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | Protection of Authenticators,Yes,Yes,baseline-from-nist-high,No
IA-5(7),ia-5.7,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | No Embedded Unencrypted Static Authenticators,Yes,No,il5-fedramp-plus-additions,No
IA-5(8),ia-5.8,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | Multiple System Accounts,Yes,No,il5-fedramp-plus-additions,No
IA-5(13),ia-5.13,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | Expiration of Cached Authenticators,Yes,No,il5-fedramp-plus-additions,No
IA-5(14),ia-5.14,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | Managing Content of PKI Trust Stores,No,No,il5-nss-overlay,No
IA-5(16),ia-5.16,IDENTIFICATION AND AUTHENTICATION,Authenticator Management | In-person or Trusted External Party Authenticator Issuance,No,No,il5-nss-overlay,No
IA-6,ia-6,IDENTIFICATION AND AUTHENTICATION,Authentication Feedback,Yes,Yes,baseline-from-nist-high,No
IA-7,ia-7,IDENTIFICATION AND AUTHENTICATION,Cryptographic Module Authentication,Yes,Yes,baseline-from-nist-high,No
IA-8,ia-8,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (non-organizational Users),Yes,Yes,baseline-from-nist-high,No
IA-8(1),ia-8.1,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies,Yes,Yes,baseline-from-nist-high,No
IA-8(2),ia-8.2,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators,Yes,Yes,baseline-from-nist-high,No
IA-8(4),ia-8.4,IDENTIFICATION AND AUTHENTICATION,Identification and Authentication (non-organizational Users) | Use of Defined Profiles,Yes,Yes,baseline-from-nist-high,No
IA-9,ia-9,IDENTIFICATION AND AUTHENTICATION,Service Identification and Authentication,No,No,il5-nss-overlay,No
IA-10,ia-10,IDENTIFICATION AND AUTHENTICATION,Adaptive Authentication,No,No,il5-nss-overlay,No
IA-11,ia-11,IDENTIFICATION AND AUTHENTICATION,Re-authentication,Yes,Yes,baseline-from-nist-high,No
IA-12,ia-12,IDENTIFICATION AND AUTHENTICATION,Identity Proofing,Yes,Yes,baseline-from-nist-high,No
IA-12(1),ia-12.1,IDENTIFICATION AND AUTHENTICATION,Identity Proofing | Supervisor Authorization,No,No,il5-nss-overlay,No
IA-12(2),ia-12.2,IDENTIFICATION AND AUTHENTICATION,Identity Proofing | Identity Evidence,Yes,Yes,baseline-from-nist-high,No
IA-12(3),ia-12.3,IDENTIFICATION AND AUTHENTICATION,Identity Proofing | Identity Evidence Validation and Verification,Yes,Yes,baseline-from-nist-high,No
IA-12(4),ia-12.4,IDENTIFICATION AND AUTHENTICATION,Identity Proofing | In-person Validation and Verification,Yes,Yes,baseline-from-nist-high,No
IA-12(5),ia-12.5,IDENTIFICATION AND AUTHENTICATION,Identity Proofing | Address Confirmation,Yes,Yes,baseline-from-nist-high,No
IR-1,ir-1,INCIDENT RESPONSE,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
IR-2,ir-2,INCIDENT RESPONSE,Incident Response Training,Yes,Yes,baseline-from-nist-high,No
IR-2(1),ir-2.1,INCIDENT RESPONSE,Incident Response Training | Simulated Events,Yes,Yes,baseline-from-nist-high,No
IR-2(2),ir-2.2,INCIDENT RESPONSE,Incident Response Training | Automated Training Environments,Yes,Yes,baseline-from-nist-high,No
IR-3,ir-3,INCIDENT RESPONSE,Incident Response Testing,Yes,Yes,baseline-from-nist-high,No
IR-3(2),ir-3.2,INCIDENT RESPONSE,Incident Response Testing | Coordination with Related Plans,Yes,Yes,baseline-from-nist-high,No
IR-4,ir-4,INCIDENT RESPONSE,Incident Handling,Yes,Yes,baseline-from-nist-high,No
IR-4(1),ir-4.1,INCIDENT RESPONSE,Incident Handling | Automated Incident Handling Processes,Yes,Yes,baseline-from-nist-high,No
IR-4(2),ir-4.2,INCIDENT RESPONSE,Incident Handling | Dynamic Reconfiguration,Yes,No,il5-fedramp-plus-additions,No
IR-4(3),ir-4.3,INCIDENT RESPONSE,Incident Handling | Continuity of Operations,No,No,il5-nss-overlay,No
IR-4(4),ir-4.4,INCIDENT RESPONSE,Incident Handling | Information Correlation,Yes,Yes,baseline-from-nist-high,No
IR-4(6),ir-4.6,INCIDENT RESPONSE,Incident Handling | Insider Threats,Yes,No,il5-fedramp-plus-additions,No
IR-4(7),ir-4.7,INCIDENT RESPONSE,Incident Handling | Insider Threats — Intra-organization Coordination,No,No,il5-nss-overlay,No
IR-4(8),ir-4.8,INCIDENT RESPONSE,Incident Handling | Correlation with External Organizations,No,No,il5-nss-overlay,No
IR-4(10),ir-4.10,INCIDENT RESPONSE,Incident Handling | Supply Chain Coordination,No,No,il5-nss-overlay,No
IR-4(11),ir-4.11,INCIDENT RESPONSE,Incident Handling | Integrated Incident Response Team,Yes,Yes,baseline-from-nist-high,No
IR-4(12),ir-4.12,INCIDENT RESPONSE,Incident Handling | Malicious Code and Forensic Analysis,No,No,il5-nss-overlay,No
IR-4(13),ir-4.13,INCIDENT RESPONSE,Incident Handling | Behavior Analysis,No,No,il5-nss-overlay,No
IR-4(14),ir-4.14,INCIDENT RESPONSE,Incident Handling | Security Operations Center,No,No,il5-nss-overlay,No
IR-5,ir-5,INCIDENT RESPONSE,Incident Monitoring,Yes,Yes,baseline-from-nist-high,No
IR-5(1),ir-5.1,INCIDENT RESPONSE,"Incident Monitoring | Automated Tracking, Data Collection, and Analysis",Yes,Yes,baseline-from-nist-high,No
IR-6,ir-6,INCIDENT RESPONSE,Incident Reporting,Yes,Yes,baseline-from-nist-high,No
IR-6(1),ir-6.1,INCIDENT RESPONSE,Incident Reporting | Automated Reporting,Yes,Yes,baseline-from-nist-high,No
IR-6(2),ir-6.2,INCIDENT RESPONSE,Incident Reporting | Vulnerabilities Related to Incidents,No,No,il5-nss-overlay,No
IR-6(3),ir-6.3,INCIDENT RESPONSE,Incident Reporting | Supply Chain Coordination,Yes,Yes,baseline-from-nist-high,No
IR-7,ir-7,INCIDENT RESPONSE,Incident Response Assistance,Yes,Yes,baseline-from-nist-high,No
IR-7(1),ir-7.1,INCIDENT RESPONSE,Incident Response Assistance | Automation Support for Availability of Information and Support,Yes,Yes,baseline-from-nist-high,No
IR-7(2),ir-7.2,INCIDENT RESPONSE,Incident Response Assistance | Coordination with External Providers,No,No,il5-nss-overlay,No
IR-8,ir-8,INCIDENT RESPONSE,Incident Response Plan,Yes,Yes,baseline-from-nist-high,No
IR-9,ir-9,INCIDENT RESPONSE,Information Spillage Response,Yes,No,il5-fedramp-plus-additions,No
IR-9(2),ir-9.2,INCIDENT RESPONSE,Information Spillage Response | Training,Yes,No,il5-fedramp-plus-additions,No
IR-9(3),ir-9.3,INCIDENT RESPONSE,Information Spillage Response | Post-spill Operations,Yes,No,il5-fedramp-plus-additions,No
IR-9(4),ir-9.4,INCIDENT RESPONSE,Information Spillage Response | Exposure to Unauthorized Personnel,Yes,No,il5-fedramp-plus-additions,No
MA-1,ma-1,MAINTENANCE,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
MA-2,ma-2,MAINTENANCE,Controlled Maintenance,Yes,Yes,baseline-from-nist-high,No
MA-2(2),ma-2.2,MAINTENANCE,Controlled Maintenance | Automated Maintenance Activities,Yes,Yes,baseline-from-nist-high,No
MA-3,ma-3,MAINTENANCE,Maintenance Tools,Yes,Yes,baseline-from-nist-high,No
MA-3(1),ma-3.1,MAINTENANCE,Maintenance Tools | Inspect Tools,Yes,Yes,baseline-from-nist-high,No
MA-3(2),ma-3.2,MAINTENANCE,Maintenance Tools | Inspect Media,Yes,Yes,baseline-from-nist-high,No
MA-3(3),ma-3.3,MAINTENANCE,Maintenance Tools | Prevent Unauthorized Removal,Yes,Yes,baseline-from-nist-high,No
MA-3(4),ma-3.4,MAINTENANCE,Maintenance Tools | Restricted Tool Use,No,No,il5-nss-overlay,No
MA-3(5),ma-3.5,MAINTENANCE,Maintenance Tools | Execution with Privilege,No,No,il5-nss-overlay,No
MA-3(6),ma-3.6,MAINTENANCE,Maintenance Tools | Software Updates and Patches,No,No,il5-nss-overlay,No
MA-4,ma-4,MAINTENANCE,Nonlocal Maintenance,Yes,Yes,baseline-from-nist-high,No
MA-4(1),ma-4.1,MAINTENANCE,Nonlocal Maintenance | Logging and Review,No,No,il5-nss-overlay,No
MA-4(3),ma-4.3,MAINTENANCE,Nonlocal Maintenance | Comparable Security and Sanitization,Yes,Yes,baseline-from-nist-high,No
MA-4(4),ma-4.4,MAINTENANCE,Nonlocal Maintenance | Authentication and Separation of Maintenance Sessions,No,No,il5-nss-overlay,No
MA-4(6),ma-4.6,MAINTENANCE,Nonlocal Maintenance | Cryptographic Protection,No,No,il5-nss-overlay,No
MA-4(7),ma-4.7,MAINTENANCE,Nonlocal Maintenance | Disconnect Verification,No,No,il5-nss-overlay,No
MA-5,ma-5,MAINTENANCE,Maintenance Personnel,Yes,Yes,baseline-from-nist-high,No
MA-5(1),ma-5.1,MAINTENANCE,Maintenance Personnel | Individuals Without Appropriate Access,No,Yes,il5-nss-overlay,Yes
MA-5(5),ma-5.5,MAINTENANCE,Maintenance Personnel | Non-system Maintenance,No,No,il5-nss-overlay,No
MA-6,ma-6,MAINTENANCE,Timely Maintenance,Yes,Yes,baseline-from-nist-high,Yes
MP-1,mp-1,MEDIA PROTECTION,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
MP-2,mp-2,MEDIA PROTECTION,Media Access,Yes,Yes,baseline-from-nist-high,No
MP-3,mp-3,MEDIA PROTECTION,Media Marking,Yes,Yes,baseline-from-nist-high,No
MP-4,mp-4,MEDIA PROTECTION,Media Storage,Yes,Yes,baseline-from-nist-high,No
MP-5,mp-5,MEDIA PROTECTION,Media Transport,Yes,Yes,baseline-from-nist-high,No
MP-6,mp-6,MEDIA PROTECTION,Media Sanitization,Yes,Yes,baseline-from-nist-high,No
MP-6(1),mp-6.1,MEDIA PROTECTION,"Media Sanitization | Review, Approve, Track, Document, and Verify",Yes,Yes,baseline-from-nist-high,No
MP-6(2),mp-6.2,MEDIA PROTECTION,Media Sanitization | Equipment Testing,Yes,Yes,baseline-from-nist-high,No
MP-6(3),mp-6.3,MEDIA PROTECTION,Media Sanitization | Nondestructive Techniques,Yes,Yes,baseline-from-nist-high,No
MP-7,mp-7,MEDIA PROTECTION,Media Use,Yes,Yes,baseline-from-nist-high,No
PE-1,pe-1,PHYSICAL AND ENVIRONMENTAL PROTECTION,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
PE-2,pe-2,PHYSICAL AND ENVIRONMENTAL PROTECTION,Physical Access Authorizations,Yes,Yes,baseline-from-nist-high,No
PE-3,pe-3,PHYSICAL AND ENVIRONMENTAL PROTECTION,Physical Access Control,Yes,Yes,baseline-from-nist-high,No
PE-3(1),pe-3.1,PHYSICAL AND ENVIRONMENTAL PROTECTION,Physical Access Control | System Access,Yes,Yes,baseline-from-nist-high,No
PE-4,pe-4,PHYSICAL AND ENVIRONMENTAL PROTECTION,Access Control for Transmission,Yes,Yes,baseline-from-nist-high,No
PE-5,pe-5,PHYSICAL AND ENVIRONMENTAL PROTECTION,Access Control for Output Devices,Yes,Yes,baseline-from-nist-high,No
PE-6,pe-6,PHYSICAL AND ENVIRONMENTAL PROTECTION,Monitoring Physical Access,Yes,Yes,baseline-from-nist-high,No
PE-6(1),pe-6.1,PHYSICAL AND ENVIRONMENTAL PROTECTION,Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,Yes,Yes,baseline-from-nist-high,No
PE-6(4),pe-6.4,PHYSICAL AND ENVIRONMENTAL PROTECTION,Monitoring Physical Access | Monitoring Physical Access to Systems,Yes,Yes,baseline-from-nist-high,No
PE-8,pe-8,PHYSICAL AND ENVIRONMENTAL PROTECTION,Visitor Access Records,Yes,Yes,baseline-from-nist-high,No
PE-8(1),pe-8.1,PHYSICAL AND ENVIRONMENTAL PROTECTION,Visitor Access Records | Automated Records Maintenance and Review,Yes,Yes,baseline-from-nist-high,No
PE-8(3),pe-8.3,PHYSICAL AND ENVIRONMENTAL PROTECTION,Visitor Access Records | Limit Personally Identifiable Information Elements,No,No,il5-nss-overlay,No
PE-9,pe-9,PHYSICAL AND ENVIRONMENTAL PROTECTION,Power Equipment and Cabling,Yes,Yes,baseline-from-nist-high,No
PE-10,pe-10,PHYSICAL AND ENVIRONMENTAL PROTECTION,Emergency Shutoff,Yes,Yes,baseline-from-nist-high,No
PE-11,pe-11,PHYSICAL AND ENVIRONMENTAL PROTECTION,Emergency Power,Yes,Yes,baseline-from-nist-high,No
PE-11(1),pe-11.1,PHYSICAL AND ENVIRONMENTAL PROTECTION,Emergency Power | Alternate Power Supply — Minimal Operational Capability,Yes,Yes,baseline-from-nist-high,No
PE-12,pe-12,PHYSICAL AND ENVIRONMENTAL PROTECTION,Emergency Lighting,Yes,Yes,baseline-from-nist-high,No
PE-13,pe-13,PHYSICAL AND ENVIRONMENTAL PROTECTION,Fire Protection,Yes,Yes,baseline-from-nist-high,No
PE-13(1),pe-13.1,PHYSICAL AND ENVIRONMENTAL PROTECTION,Fire Protection | Detection Systems — Automatic Activation and Notification,Yes,Yes,baseline-from-nist-high,No
PE-13(2),pe-13.2,PHYSICAL AND ENVIRONMENTAL PROTECTION,Fire Protection | Suppression Systems — Automatic Activation and Notification,Yes,Yes,baseline-from-nist-high,No
PE-14,pe-14,PHYSICAL AND ENVIRONMENTAL PROTECTION,Environmental Controls,Yes,Yes,baseline-from-nist-high,No
PE-14(2),pe-14.2,PHYSICAL AND ENVIRONMENTAL PROTECTION,Environmental Controls | Monitoring with Alarms and Notifications,Yes,No,il5-fedramp-plus-additions,No
PE-15,pe-15,PHYSICAL AND ENVIRONMENTAL PROTECTION,Water Damage Protection,No,Yes,il5-nss-overlay,Yes
PE-15(1),pe-15.1,PHYSICAL AND ENVIRONMENTAL PROTECTION,Water Damage Protection | Automation Support,Yes,Yes,baseline-from-nist-high,No
PE-16,pe-16,PHYSICAL AND ENVIRONMENTAL PROTECTION,Delivery and Removal,Yes,Yes,baseline-from-nist-high,No
PE-17,pe-17,PHYSICAL AND ENVIRONMENTAL PROTECTION,Alternate Work Site,Yes,Yes,baseline-from-nist-high,No
PE-18,pe-18,PHYSICAL AND ENVIRONMENTAL PROTECTION,Location of System Components,Yes,Yes,baseline-from-nist-high,No
PE-22,pe-22,PHYSICAL AND ENVIRONMENTAL PROTECTION,Component Marking,No,No,il5-nss-overlay,No
PL-1,pl-1,PLANNING,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
PL-2,pl-2,PLANNING,System Security and Privacy Plans,Yes,Yes,baseline-from-nist-high,No
PL-4,pl-4,PLANNING,Rules of Behavior,Yes,Yes,baseline-from-nist-high,No
PL-4(1),pl-4.1,PLANNING,Rules of Behavior | Social Media and External Site/application Usage Restrictions,Yes,Yes,baseline-from-nist-high,No
PL-7,pl-7,PLANNING,Concept of Operations,No,No,il5-nss-overlay,No
PL-8,pl-8,PLANNING,Security and Privacy Architectures,Yes,Yes,baseline-from-nist-high,No
PL-8(1),pl-8.1,PLANNING,Security and Privacy Architectures | Defense in Depth,No,No,il5-nss-overlay,No
PL-8(2),pl-8.2,PLANNING,Security and Privacy Architectures | Supplier Diversity,No,No,il5-nss-overlay,No
PL-9,pl-9,PLANNING,Central Management,No,No,il5-nss-overlay,No
PL-10,pl-10,PLANNING,Baseline Selection,Yes,Yes,baseline-from-nist-high,No
PL-11,pl-11,PLANNING,Baseline Tailoring,Yes,Yes,baseline-from-nist-high,No
PS-1,ps-1,PERSONNEL SECURITY,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
PS-2,ps-2,PERSONNEL SECURITY,Position Risk Designation,Yes,Yes,baseline-from-nist-high,No
PS-3,ps-3,PERSONNEL SECURITY,Personnel Screening,Yes,Yes,baseline-from-nist-high,No
PS-3(3),ps-3.3,PERSONNEL SECURITY,Personnel Screening | Information Requiring Special Protective Measures,Yes,No,il5-fedramp-plus-additions,No
PS-3(4),ps-3.4,PERSONNEL SECURITY,Personnel Screening | Citizenship Requirements,No,No,il5-nss-overlay,Yes
PS-4,ps-4,PERSONNEL SECURITY,Personnel Termination,Yes,Yes,baseline-from-nist-high,Yes
PS-4(1),ps-4.1,PERSONNEL SECURITY,Personnel Termination | Post-employment Requirements,No,No,il5-nss-overlay,No
PS-4(2),ps-4.2,PERSONNEL SECURITY,Personnel Termination | Automated Actions,Yes,Yes,baseline-from-nist-high,No
PS-5,ps-5,PERSONNEL SECURITY,Personnel Transfer,Yes,Yes,baseline-from-nist-high,No
PS-6,ps-6,PERSONNEL SECURITY,Access Agreements,Yes,Yes,baseline-from-nist-high,No
PS-6(3),ps-6.3,PERSONNEL SECURITY,Access Agreements | Post-employment Requirements,No,No,il5-nss-overlay,No
PS-7,ps-7,PERSONNEL SECURITY,External Personnel Security,Yes,Yes,baseline-from-nist-high,No
PS-8,ps-8,PERSONNEL SECURITY,Personnel Sanctions,Yes,Yes,baseline-from-nist-high,No
PS-9,ps-9,PERSONNEL SECURITY,Position Descriptions,Yes,Yes,baseline-from-nist-high,No
RA-1,ra-1,RISK ASSESSMENT,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
RA-2,ra-2,RISK ASSESSMENT,Security Categorization,Yes,Yes,baseline-from-nist-high,No
RA-3,ra-3,RISK ASSESSMENT,Risk Assessment,Yes,Yes,baseline-from-nist-high,No
RA-3(1),ra-3.1,RISK ASSESSMENT,Risk Assessment | Supply Chain Risk Assessment,Yes,Yes,baseline-from-nist-high,No
RA-3(2),ra-3.2,RISK ASSESSMENT,Risk Assessment | Use of All-source Intelligence,No,No,il5-nss-overlay,No
RA-3(3),ra-3.3,RISK ASSESSMENT,Risk Assessment | Dynamic Threat Awareness,No,No,il5-nss-overlay,No
RA-5,ra-5,RISK ASSESSMENT,Vulnerability Monitoring and Scanning,Yes,Yes,baseline-from-nist-high,No
RA-5(2),ra-5.2,RISK ASSESSMENT,Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,Yes,Yes,baseline-from-nist-high,No
RA-5(3),ra-5.3,RISK ASSESSMENT,Vulnerability Monitoring and Scanning | Breadth and Depth of Coverage,Yes,No,il5-fedramp-plus-additions,No
RA-5(4),ra-5.4,RISK ASSESSMENT,Vulnerability Monitoring and Scanning | Discoverable Information,Yes,Yes,baseline-from-nist-high,No
RA-5(5),ra-5.5,RISK ASSESSMENT,Vulnerability Monitoring and Scanning | Privileged Access,Yes,Yes,baseline-from-nist-high,No
RA-5(8),ra-5.8,RISK ASSESSMENT,Vulnerability Monitoring and Scanning | Review Historic Audit Logs,Yes,No,il5-fedramp-plus-additions,No
RA-5(10),ra-5.10,RISK ASSESSMENT,Vulnerability Monitoring and Scanning | Correlate Scanning Information,No,No,il5-nss-overlay,No
RA-5(11),ra-5.11,RISK ASSESSMENT,Vulnerability Monitoring and Scanning | Public Disclosure Program,Yes,Yes,baseline-from-nist-high,No
RA-7,ra-7,RISK ASSESSMENT,Risk Response,Yes,Yes,baseline-from-nist-high,No
RA-9,ra-9,RISK ASSESSMENT,Criticality Analysis,Yes,Yes,baseline-from-nist-high,No
RA-10,ra-10,RISK ASSESSMENT,Threat Hunting,No,No,il5-nss-overlay,No
SA-1,sa-1,SYSTEM AND SERVICES ACQUISITION,Policy and Procedures,Yes,Yes,baseline-from-nist-high,No
SA-2,sa-2,SYSTEM AND SERVICES ACQUISITION,Allocation of Resources,Yes,Yes,baseline-from-nist-high,No
SA-3,sa-3,SYSTEM AND SERVICES ACQUISITION,System Development Life Cycle,Yes,Yes,baseline-from-nist-high,No
SA-3(1),sa-3.1,SYSTEM AND SERVICES ACQUISITION,System Development Life Cycle | Manage Preproduction Environment,No,No,il5-nss-overlay,No
SA-3(2),sa-3.2,SYSTEM AND SERVICES ACQUISITION,System Development Life Cycle | Use of Live or Operational Data,No,No,il5-nss-overlay,No
SA-4,sa-4,SYSTEM AND SERVICES ACQUISITION,Acquisition Process,Yes,Yes,baseline-from-nist-high,No
SA-4(1),sa-4.1,SYSTEM AND SERVICES ACQUISITION,Acquisition Process | Functional Properties of Controls,Yes,Yes,baseline-from-nist-high,No
SA-4(2),sa-4.2,SYSTEM AND SERVICES ACQUISITION,Acquisition Process | Design and Implementation Information for Controls,Yes,Yes,baseline-from-nist-high,No
SA-4(3),sa-4.3,SYSTEM AND SERVICES ACQUISITION,"Acquisition Process | Development Methods, Techniques, and Practices",No,No,il5-nss-overlay,No
SA-4(5),sa-4.5,SYSTEM AND SERVICES ACQUISITION,"Acquisition Process | System, Component, and Service Configurations",No,Yes,il5-nss-overlay,Yes
SA-4(7),sa-4.7,SYSTEM AND SERVICES ACQUISITION,Acquisition Process | NIAP-approved Protection Profiles,No,No,il5-nss-overlay,No
SA-4(9),sa-4.9,SYSTEM AND SERVICES ACQUISITION,"Acquisition Process | Functions, Ports, Protocols, and Services in Use",Yes,Yes,baseline-from-nist-high,No
SA-4(10),sa-4.10,SYSTEM AND SERVICES ACQUISITION,Acquisition Process | Use of Approved PIV Products,Yes,Yes,baseline-from-nist-high,No
SA-5,sa-5,SYSTEM AND SERVICES ACQUISITION,System Documentation,Yes,Yes,baseline-from-nist-high,No
SA-8,sa-8,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles,Yes,Yes,baseline-from-nist-high,No
SA-8(1),sa-8.1,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Clear Abstractions,No,No,il5-nss-overlay,No
SA-8(2),sa-8.2,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Least Common Mechanism,No,No,il5-nss-overlay,No
SA-8(3),sa-8.3,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Modularity and Layering,No,No,il5-nss-overlay,No
SA-8(4),sa-8.4,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Partially Ordered Dependencies,No,No,il5-nss-overlay,No
SA-8(5),sa-8.5,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Efficiently Mediated Access,No,No,il5-nss-overlay,No
SA-8(6),sa-8.6,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Minimized Sharing,No,No,il5-nss-overlay,No
SA-8(7),sa-8.7,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Reduced Complexity,No,No,il5-nss-overlay,No
SA-8(8),sa-8.8,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Secure Evolvability,No,No,il5-nss-overlay,No
SA-8(9),sa-8.9,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Trusted Components,No,No,il5-nss-overlay,No
SA-8(10),sa-8.10,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Hierarchical Trust,No,No,il5-nss-overlay,No
SA-8(11),sa-8.11,SYSTEM AND SERVICES ACQUISITION,Security and Privacy Engineering Principles | Inverse Modification Threshold,No,No,il5-nss-overlay,No
